SAPT_Induction,MD_Induction,DimerID
-1.999799999999999928e-04,-1.598819926557586537e-04,3.060000000000000000e+02
-2.787900000000000057e-04,-2.436307694945625212e-04,3.070000000000000000e+02
-7.441499999999999547e-04,-7.082424649323904248e-04,3.080000000000000000e+02
-1.835600000000000111e-04,-1.618011192613185312e-04,3.100000000000000000e+02
-1.480200000000000092e-04,-1.177507618354862458e-04,3.110000000000000000e+02
-1.459499999999999968e-04,-1.081549158010881298e-04,3.120000000000000000e+02
-2.691200000000000254e-04,-2.770886102277156219e-04,3.140000000000000000e+02
-2.137999999999999927e-04,-1.714262153288067549e-04,3.150000000000000000e+02
-2.004999999999999946e-04,-2.170647347601563576e-04,3.160000000000000000e+02
-3.217800000000000261e-04,-2.585183944211509122e-04,3.190000000000000000e+02
-1.046020999999999930e-02,-8.017109180657247536e-03,3.200000000000000000e+01
-2.511799999999999905e-04,-2.161643574826957611e-04,3.200000000000000000e+02
-2.638699999999999791e-04,-2.254127684070331009e-04,3.210000000000000000e+02
-5.967200000000000195e-04,-5.253081737761464056e-04,3.250000000000000000e+02
-3.528100000000000051e-04,-3.545387649351866436e-04,3.260000000000000000e+02
-2.426700000000000059e-04,-1.921494763180147270e-04,3.270000000000000000e+02
-1.332700000000000030e-04,-1.139486511626590723e-04,3.280000000000000000e+02
-2.186300000000000125e-04,-1.846309574883420027e-04,3.290000000000000000e+02
-3.417615000000000236e-02,-2.775410230916160528e-02,3.300000000000000000e+01
-1.247200000000000121e-04,-9.814799475396517481e-05,3.300000000000000000e+02
-3.479099999999999944e-04,-2.931962733943398441e-04,3.310000000000000000e+02
-4.100400000000000247e-04,-3.560926362151945867e-04,3.320000000000000000e+02
-1.123000000000000056e-04,-1.067904968066283466e-04,3.330000000000000000e+02
-1.923600000000000082e-04,-1.708213330553075727e-04,3.340000000000000000e+02
-1.704800000000000076e-04,-1.777076794743861099e-04,3.350000000000000000e+02
-2.226999999999999921e-04,-1.893902359485509273e-04,3.360000000000000000e+02
-1.553899999999999878e-04,-1.707589080572193365e-04,3.390000000000000000e+02
-2.189895999999999857e-02,-1.727268526618911532e-02,3.400000000000000000e+01
-1.998299999999999892e-04,-2.020339723959942190e-04,3.400000000000000000e+02
-8.710000000000000294e-05,-7.047139559613134323e-05,3.410000000000000000e+02
-2.466200000000000206e-04,-2.155201781057131170e-04,3.420000000000000000e+02
-1.695500000000000013e-04,-1.354484272248290084e-04,3.440000000000000000e+02
-1.443700000000000018e-04,-1.145327194862051998e-04,3.470000000000000000e+02
-1.725700000000000096e-04,-1.707362513066891356e-04,3.480000000000000000e+02
-2.380899999999999922e-04,-1.882599839437063254e-04,3.490000000000000000e+02
-2.352361000000000035e-02,-2.107014417254200050e-02,3.500000000000000000e+01
-2.244600000000000024e-04,-1.941830587736558173e-04,3.510000000000000000e+02
